"Code","Title"
"8220","Child Nutrition Programs                                                                                                                                                                                                                                  "
"8221","Donated Food Commodities                                                                                                                                                                                                                                  "
"8260","Forest Reserve Funds                                                                                                                                                                                                                                      "
"8270","Flood Control Funds                                                                                                                                                                                                                                       "
"8280","U.S. Wildlife Reserve Funds                                                                                                                                                                                                                               "
"8281","FEMA                                                                                                                                                                                                                                                      "
"8285","Interagency Contracts Between LEAs                                                                                                                                                                                                                        "
"8287","Pass-Through Revenues from Federal Sources                                                                                                                                                                                                                "
"8290","All Other Federal Revenue                                                                                                                                                                                                                                 "
"8311","Other State Apportionments - Current Year                                                                                                                                                                                                                 "
"8319","Other State Apportionments - Prior Years                                                                                                                                                                                                                  "
"8520","Child Nutrition                                                                                                                                                                                                                                           "
"8530","Child Development Apportionments                                                                                                                                                                                                                          "
"8545","School Facilities Apportionments                                                                                                                                                                                                                          "
"8550","Mandated Cost Reimbursements                                                                                                                                                                                                                              "
"8560","State Lottery Revenue                                                                                                                                                                                                                                     "
"8571","Voted Indebtedness Levies, Homeowners' Exemptions                                                                                                                                                                                                         "
"8572","Voted Indebtedness Levies, Other Subventions/In-Lieu Taxes                                                                                                                                                                                                "
"8575","Other Restricted Levies, Homeowners' Exemptions                                                                                                                                                                                                           "
"8576","Other Restricted Levies, Other Subventions/In-Lieu Taxes                                                                                                                                                                                                  "
"8587","Pass-Through Revenues from State Sources                                                                                                                                                                                                                  "
"8590","All Other State Revenue                                                                                                                                                                                                                                   "
"8611","Voted Indebtedness Levies, Secured Roll                                                                                                                                                                                                                   "
"8612","Voted Indebtedness Levies, Unsecured Roll                                                                                                                                                                                                                 "
"8613","Voted Indebtedness Levies, Prior Years' Taxes                                                                                                                                                                                                             "
"8614","Voted Indebtedness Levies, Supplemental Taxes                                                                                                                                                                                                             "
"8615","Other Restricted Levies, Secured Roll                                                                                                                                                                                                                     "
"8616","Other Restricted Levies, Unsecured Roll                                                                                                                                                                                                                   "
"8617","Other Restricted Levies, Prior Years' Taxes                                                                                                                                                                                                               "
"8618","Other Restricted Levies, Supplemental Taxes                                                                                                                                                                                                               "
"8621","Parcel Taxes                                                                                                                                                                                                                                              "
"8622","Other Non-Ad Valorem Taxes                                                                                                                                                                                                                                "
"8625","Community Redevelopment Funds Not Subject to LCFF Deduction                                                                                                                                                                                               "
"8629","Penalties and Interest from Delinquent Non-LCFF Taxes                                                                                                                                                                                                     "
"8631","Sale of Equipment and Supplies                                                                                                                                                                                                                            "
"8632","Sale of Publications                                                                                                                                                                                                                                      "
"8634","Food Service Sales                                                                                                                                                                                                                                        "
"8639","All Other Sales                                                                                                                                                                                                                                           "
"8650","Leases and Rentals                                                                                                                                                                                                                                        "
"8660","Interest                                                                                                                                                                                                                                                  "
"8662","Net Increase (Decrease) in the Fair Value of Investments                                                                                                                                                                                                  "
"8671","Adult Education Fees                                                                                                                                                                                                                                      "
"8672","Nonresident Student Fees                                                                                                                                                                                                                                  "
"8673","Child Development Parent Fees                                                                                                                                                                                                                             "
"8674","In-District Premiums/Contributions                                                                                                                                                                                                                        "
"8675","Transportation Fees from Individuals                                                                                                                                                                                                                      "
"8677","Interagency Services Between LEAs                                                                                                                                                                                                                         "
"8681","Mitigation/Developer Fees                                                                                                                                                                                                                                 "
"8689","All Other Fees and Contracts                                                                                                                                                                                                                              "
"8691","Plus: Miscellaneous Funds Non-LCFF (50 Percent) Adjustment                                                                                                                                                                                                "
"8697","Pass-Through Revenue from Local Sources                                                                                                                                                                                                                   "
"8699","All Other Local Revenue                                                                                                                                                                                                                                   "
"8710","Tuition                                                                                                                                                                                                                                                   "
"8781","All Other Transfers from Districts or Charter Schools                                                                                                                                                                                                     "
"8782","All Other Transfers from County Offices                                                                                                                                                                                                                   "
"8783","All Other Transfers from JPAs                                                                                                                                                                                                                             "
"8791","Transfers of Apportionments from Districts or Charter Schools                                                                                                                                                                                             "
"8792","Transfers of Apportionments from County Offices                                                                                                                                                                                                           "
"8793","Transfers of Apportionments from JPAs                                                                                                                                                                                                                     "
"8799","Other Transfers In from All Others                                                                                                                                                                                                                        "
"8911","To Child Development Fund from General Fund                                                                                                                                                                                                               "
"8912","Between General Fund and Special Reserve Fund                                                                                                                                                                                                             "
"8913","To State School Building Fund/County School Facilities Fund from All Other Funds                                                                                                                                                                          "
"8914","To General Fund from Bond Interest and Redemption Fund                                                                                                                                                                                                    "
"8916","To Cafeteria Fund from General Fund                                                                                                                                                                                                                       "
"8919","Other Authorized Interfund Transfers In                                                                                                                                                                                                                   "
"8931","Emergency Apportionments                                                                                                                                                                                                                                  "
"8951","Proceeds from Sale of Bonds                                                                                                                                                                                                                               "
"8953","Proceeds from Sale/Lease Purchase of Land and Buildings                                                                                                                                                                                                   "
"8961","County School Building Aid                                                                                                                                                                                                                                "
"8965","Transfers from Funds of Lapsed/Reorganized LEAs                                                                                                                                                                                                           "
"8971","Proceeds from Certificates of Participation                                                                                                                                                                                                               "
"8972","Proceeds from Capital Leases                                                                                                                                                                                                                              "
"8973","Proceeds from Lease Revenue Bonds                                                                                                                                                                                                                         "
"8979","All Other Financing Sources                                                                                                                                                                                                                               "
"8980","Contributions from Unrestricted Revenues                                                                                                                                                                                                                  "
"8990","Contributions from Restricted Revenues                                                                                                                                                                                                                    "
"9110","Cash in County Treasury                                                                                                                                                                                                                                   "
"9111","Fair Value Adjustment to Cash in County Treasury                                                                                                                                                                                                          "
"9120","Cash in Bank(s)                                                                                                                                                                                                                                           "
"9130","Revolving Cash Account                                                                                                                                                                                                                                    "
"9135","Cash with a Fiscal Agent/Trustee                                                                                                                                                                                                                          "
"9140","Cash Collections Awaiting Deposit                                                                                                                                                                                                                         "
"9150","Investments                                                                                                                                                                                                                                               "
"9200","Accounts Receivable                                                                                                                                                                                                                                       "
"9290","Due from Grantor Governments                                                                                                                                                                                                                              "
"9310","Due from Other Funds                                                                                                                                                                                                                                      "
"9320","Stores                                                                                                                                                                                                                                                    "
"9330","Prepaid Expenditures (Expenses)                                                                                                                                                                                                                           "
"9340","Other Current Assets                                                                                                                                                                                                                                      "
"9410","Land                                                                                                                                                                                                                                                      "
"9420","Land Improvements                                                                                                                                                                                                                                         "
"9425","Accumulated Depreciation - Land Improvements                                                                                                                                                                                                              "
"9430","Buildings                                                                                                                                                                                                                                                 "
"9435","Accumulated Depreciation - Buildings                                                                                                                                                                                                                      "
"9440","Equipment                                                                                                                                                                                                                                                 "
"9445","Accumulated Depreciation - Equipment                                                                                                                                                                                                                      "
"9450","Work in Progress                                                                                                                                                                                                                                          "
"9490","Deferred Outflows of Resources                                                                                                                                                                                                                            "
"9500","Accounts Payable (Current Liabilities)                                                                                                                                                                                                                    "
"9590","Due to Grantor Governments                                                                                                                                                                                                                                "
"9610","Due to Other Funds                                                                                                                                                                                                                                        "
"9620","Due to Student Groups/Other Agencies                                                                                                                                                                                                                      "
"9640","Current Loans                                                                                                                                                                                                                                             "
"9650","Unearned Revenue                                                                                                                                                                                                                                          "
"9661","General Obligation Bond Payable                                                                                                                                                                                                                           "
"9662","State School Building Loans Payable                                                                                                                                                                                                                       "
"9663","Net Pension Liability                                                                                                                                                                                                                                     "
"9664","Total/Net OPEB Liability                                                                                                                                                                                                                                  "
"9665","Compensated Absences Payable                                                                                                                                                                                                                              "
"9666","Certificates of Participation (COPs) Payable                                                                                                                                                                                                              "
"9667","Capital Leases Payable                                                                                                                                                                                                                                    "
"9668","Lease Revenue Bonds Payable                                                                                                                                                                                                                               "
"9669","Other General Long-Term Debt                                                                                                                                                                                                                              "
"9690","Deferred Inflows of Resources                                                                                                                                                                                                                             "
"9711","Nonspendable Revolving Cash                                                                                                                                                                                                                               "
"9712","Nonspendable Stores                                                                                                                                                                                                                                       "
"9713","Nonspendable Prepaid Items                                                                                                                                                                                                                                "
"9719","All Other Nonspendable Assets                                                                                                                                                                                                                             "
"9740","Restricted Balance                                                                                                                                                                                                                                        "
"9750","Stabilization Arrangements                                                                                                                                                                                                                                "
"9760","Other Commitments                                                                                                                                                                                                                                         "
"9780","Other Assignments                                                                                                                                                                                                                                         "
"9789","Reserve for Economic Uncertainties                                                                                                                                                                                                                        "
"9790","Unassigned/Unappropriated/Unrestricted Net Position                                                                                                                                                                                                       "
"9791","Beginning Fund Balance                                                                                                                                                                                                                                    "
"9793","Audit Adjustments                                                                                                                                                                                                                                         "
"9795","Other Restatements                                                                                                                                                                                                                                        "
"9796","Net Investment in Capital Assets                                                                                                                                                                                                                          "
"9797","Restricted Net Position                                                                                                                                                                                                                                   "
"979Z","EFB (Calculated)                                                                                                                                                                                                                                          "
